match_id,match_date,map_name,match_type,total_players,winner_team,match_duration_minutes,total_kills
M000001,2025-01-16,Livik,Classic Squad,60,Team_V,21,159
M000002,2025-10-09,Livik,Arcade,100,Team_M,15,127
M000003,2025-10-19,Livik,Classic Duo,100,Team_G,23,97
M000004,2025-10-09,Miramar,Arcade,60,Team_F,33,56
M000005,2025-05-27,Erangel,Classic Solo,100,Team_U,21,87
M000006,2025-02-26,Livik,Classic Solo,60,Team_F,26,155
M000007,2025-02-13,Livik,Arcade,100,Team_S,29,101
M000008,2025-03-14,Vikendi,Classic Duo,60,Team_T,31,129
M000009,2025-09-24,Sanhok,Arcade,100,Team_E,27,117
M000010,2025-04-03,Erangel,Classic Solo,100,Team_W,25,101
M000011,2025-12-23,Sanhok,Classic Squad,60,Team_V,31,126
M000012,2025-10-25,Livik,Classic Squad,60,Team_R,19,93
M000013,2025-09-03,Sanhok,Classic Solo,60,Team_Z,27,148
M000014,2025-08-10,Miramar,Arcade,60,Team_A,21,68
M000015,2025-05-04,Sanhok,Arcade,100,Team_Q,23,73
M000016,2025-07-26,Livik,Classic Solo,100,Team_J,29,117
M000017,2025-02-24,Miramar,Classic Squad,60,Team_U,31,77
M000018,2025-11-07,Erangel,Classic Duo,60,Team_N,26,152
M000019,2025-08-13,Erangel,Classic Squad,100,Team_W,31,81
M000020,2025-07-30,Miramar,Classic Squad,100,Team_X,26,126
M000021,2025-06-06,Sanhok,Classic Squad,100,Team_Q,19,54
M000022,2025-02-03,Miramar,Classic Squad,100,Team_C,21,117
M000023,2025-09-12,Sanhok,Classic Squad,60,Team_J,15,98
M000024,2025-03-12,Miramar,Classic Squad,100,Team_Q,35,71
M000025,2025-10-06,Sanhok,Classic Duo,100,Team_F,20,149
M000026,2025-08-28,Livik,Classic Squad,100,Team_Z,24,138
M000027,2025-04-10,Miramar,Classic Solo,60,Team_R,29,140
M000028,2025-07-26,Vikendi,Classic Squad,100,Team_B,30,137
M000029,2025-01-08,Miramar,Classic Solo,100,Team_I,29,98
M000030,2025-02-17,Erangel,Arcade,60,Team_U,31,67
M000031,2025-12-15,Sanhok,Classic Duo,100,Team_T,22,127
M000032,2025-02-13,Sanhok,Classic Squad,100,Team_Z,21,120
M000033,2025-11-30,Vikendi,Classic Squad,100,Team_G,21,93
M000034,2025-05-04,Livik,Classic Duo,60,Team_B,28,120
M000035,2025-03-06,Vikendi,Arcade,60,Team_E,35,158
M000036,2025-01-10,Livik,Classic Squad,100,Team_U,20,94
M000037,2025-01-30,Livik,Classic Duo,60,Team_S,24,102
M000038,2025-02-03,Sanhok,Arcade,60,Team_Y,16,97
M000039,2025-10-02,Sanhok,Arcade,100,Team_D,29,94
M000040,2025-06-02,Sanhok,Arcade,60,Team_V,31,143
M000041,2025-08-19,Vikendi,Classic Squad,100,Team_D,24,80
M000042,2025-04-22,Vikendi,Classic Solo,60,Team_I,23,137
M000043,2025-09-21,Erangel,Arcade,60,Team_F,22,136
M000044,2025-12-22,Livik,Arcade,100,Team_O,23,91
M000045,2025-08-01,Erangel,Classic Solo,100,Team_Q,21,58
M000046,2025-02-22,Vikendi,Classic Solo,100,Team_M,32,62
M000047,2025-08-02,Miramar,Classic Duo,100,Team_B,23,97
M000048,2025-01-26,Livik,Classic Duo,60,Team_W,22,50
M000049,2025-07-09,Vikendi,Classic Duo,100,Team_U,18,132
M000050,2025-09-22,Livik,Arcade,60,Team_R,18,69
M000051,2025-07-29,Sanhok,Classic Squad,60,Team_S,25,124
M000052,2025-10-31,Vikendi,Classic Squad,100,Team_B,28,160
M000053,2025-05-01,Miramar,Classic Duo,100,Team_K,30,80
M000054,2025-11-19,Livik,Classic Squad,100,Team_Q,31,50
M000055,2025-02-06,Vikendi,Classic Solo,60,Team_Q,25,82
M000056,2025-11-12,Livik,Classic Squad,60,Team_L,27,131
M000057,2025-05-07,Erangel,Classic Squad,60,Team_W,35,71
M000058,2025-07-30,Erangel,Classic Duo,100,Team_C,16,90
M000059,2025-02-15,Sanhok,Classic Solo,100,Team_Y,33,83
M000060,2025-08-31,Miramar,Arcade,60,Team_X,15,157
M000061,2025-07-01,Vikendi,Classic Duo,100,Team_K,24,103
M000062,2025-04-30,Livik,Classic Squad,100,Team_Y,20,136
M000063,2025-12-16,Miramar,Classic Duo,60,Team_E,34,71
M000064,2025-03-09,Miramar,Arcade,100,Team_C,16,80
M000065,2025-12-08,Vikendi,Classic Solo,100,Team_H,21,71
M000066,2025-11-16,Vikendi,Classic Solo,100,Team_A,21,85
M000067,2025-10-05,Erangel,Classic Squad,60,Team_C,29,97
M000068,2025-08-19,Sanhok,Arcade,100,Team_L,19,68
M000069,2025-10-08,Miramar,Classic Duo,100,Team_B,25,143
M000070,2025-06-04,Sanhok,Classic Squad,60,Team_A,32,125
M000071,2025-01-14,Erangel,Classic Squad,60,Team_Y,23,127
M000072,2025-04-25,Sanhok,Arcade,100,Team_H,22,71
M000073,2025-05-03,Livik,Classic Squad,100,Team_Q,24,101
M000074,2025-10-21,Vikendi,Classic Solo,100,Team_T,30,109
M000075,2025-07-12,Vikendi,Classic Duo,100,Team_Y,17,69
M000076,2025-03-15,Sanhok,Arcade,100,Team_S,24,101
M000077,2025-04-23,Sanhok,Classic Duo,100,Team_J,30,133
M000078,2025-06-15,Sanhok,Classic Duo,100,Team_C,25,106
M000079,2025-11-08,Vikendi,Arcade,60,Team_S,15,129
M000080,2025-03-24,Livik,Classic Duo,60,Team_A,32,112
M000081,2025-04-10,Vikendi,Classic Duo,60,Team_Y,21,72
M000082,2025-08-30,Vikendi,Classic Squad,100,Team_N,27,145
M000083,2025-12-10,Sanhok,Classic Duo,100,Team_V,34,84
M000084,2025-10-18,Livik,Classic Squad,60,Team_E,24,143
M000085,2025-01-17,Livik,Classic Squad,60,Team_U,19,91
M000086,2025-02-04,Erangel,Classic Duo,100,Team_X,29,113
M000087,2025-03-25,Sanhok,Classic Solo,100,Team_Z,27,53
M000088,2025-10-25,Vikendi,Classic Duo,60,Team_J,26,123
M000089,2025-12-21,Erangel,Classic Duo,60,Team_Q,15,158
M000090,2025-08-25,Livik,Classic Solo,100,Team_F,32,60
M000091,2025-05-10,Vikendi,Classic Duo,100,Team_W,25,118
M000092,2025-05-30,Sanhok,Classic Solo,60,Team_T,29,67
M000093,2025-06-01,Miramar,Classic Duo,60,Team_I,30,147
M000094,2025-10-31,Livik,Classic Solo,100,Team_Q,31,160
M000095,2025-07-24,Livik,Classic Squad,60,Team_X,25,54
M000096,2025-09-30,Sanhok,Arcade,100,Team_M,32,71
M000097,2025-03-06,Sanhok,Classic Duo,60,Team_U,22,107
M000098,2025-06-12,Erangel,Classic Duo,100,Team_B,24,136
M000099,2025-08-10,Livik,Classic Duo,100,Team_N,35,51
M000100,2025-05-09,Miramar,Classic Squad,60,Team_W,34,63
M000101,2025-10-26,Erangel,Classic Duo,60,Team_Z,20,134
M000102,2025-10-12,Miramar,Classic Squad,60,Team_M,28,54
M000103,2025-04-07,Sanhok,Classic Duo,100,Team_F,19,126
M000104,2025-08-24,Vikendi,Classic Solo,60,Team_D,33,91
M000105,2025-01-13,Miramar,Arcade,100,Team_Z,21,66
M000106,2025-09-26,Livik,Classic Squad,100,Team_U,29,52
M000107,2025-01-31,Miramar,Classic Solo,100,Team_K,19,156
M000108,2025-03-30,Livik,Arcade,60,Team_W,22,147
M000109,2025-02-08,Miramar,Classic Duo,100,Team_R,19,136
M000110,2025-10-22,Vikendi,Classic Squad,100,Team_C,33,120
M000111,2025-05-13,Erangel,Arcade,60,Team_T,19,142
M000112,2025-06-16,Miramar,Classic Squad,60,Team_B,35,85
M000113,2025-10-30,Miramar,Classic Squad,60,Team_L,18,150
M000114,2025-10-24,Livik,Classic Duo,60,Team_Q,35,74
M000115,2025-07-03,Vikendi,Classic Duo,100,Team_T,34,99
M000116,2025-04-28,Sanhok,Classic Duo,100,Team_H,27,109
M000117,2025-12-16,Vikendi,Classic Squad,60,Team_D,26,149
M000118,2025-07-27,Vikendi,Classic Solo,100,Team_J,31,96
M000119,2025-06-25,Sanhok,Classic Squad,60,Team_C,35,159
M000120,2025-04-10,Vikendi,Classic Squad,60,Team_L,20,67
M000121,2025-03-16,Sanhok,Classic Squad,100,Team_Y,22,78
M000122,2025-08-20,Sanhok,Classic Duo,100,Team_L,15,59
M000123,2025-09-28,Erangel,Classic Duo,100,Team_Z,28,50
M000124,2025-08-05,Vikendi,Classic Duo,60,Team_Y,33,136
M000125,2025-06-30,Livik,Classic Squad,100,Team_V,33,84
M000126,2025-10-31,Erangel,Classic Duo,100,Team_S,31,94
M000127,2025-03-19,Miramar,Classic Solo,60,Team_E,31,127
M000128,2025-04-17,Livik,Classic Solo,60,Team_L,17,79
M000129,2025-04-03,Vikendi,Classic Squad,100,Team_V,16,81
M000130,2025-10-30,Miramar,Classic Squad,100,Team_F,22,112
M000131,2025-11-09,Livik,Classic Solo,100,Team_P,25,92
M000132,2025-12-14,Sanhok,Classic Solo,100,Team_K,19,78
M000133,2025-08-03,Sanhok,Arcade,100,Team_J,35,109
M000134,2025-01-09,Erangel,Classic Solo,60,Team_U,34,126
M000135,2025-10-13,Livik,Classic Squad,60,Team_U,23,60
M000136,2025-03-04,Sanhok,Arcade,100,Team_I,22,87
M000137,2025-11-20,Livik,Classic Squad,60,Team_R,28,60
M000138,2025-02-07,Vikendi,Classic Solo,100,Team_O,29,150
M000139,2025-04-25,Sanhok,Classic Solo,100,Team_J,15,79
M000140,2025-10-09,Miramar,Classic Solo,60,Team_U,28,60
M000141,2025-06-12,Erangel,Classic Duo,60,Team_Y,20,62
M000142,2025-07-04,Livik,Classic Solo,100,Team_L,26,75
M000143,2025-08-28,Erangel,Classic Squad,60,Team_R,29,112
M000144,2025-03-17,Erangel,Classic Duo,60,Team_L,25,51
M000145,2025-12-06,Erangel,Classic Squad,60,Team_K,29,103
M000146,2025-08-25,Miramar,Classic Squad,100,Team_F,32,100
M000147,2025-04-20,Miramar,Classic Squad,100,Team_H,25,106
M000148,2025-07-20,Erangel,Classic Duo,60,Team_E,17,116
M000149,2025-02-27,Erangel,Classic Squad,100,Team_R,25,142
M000150,2025-03-22,Sanhok,Classic Squad,60,Team_Y,26,62
M000151,2025-10-27,Livik,Classic Squad,60,Team_E,26,63
M000152,2025-07-05,Sanhok,Arcade,60,Team_K,24,71
M000153,2025-05-10,Vikendi,Classic Solo,100,Team_I,18,122
M000154,2025-04-18,Sanhok,Arcade,60,Team_B,26,103
M000155,2025-07-08,Miramar,Classic Squad,100,Team_C,33,72
M000156,2025-12-10,Miramar,Classic Duo,60,Team_W,28,132
M000157,2025-02-04,Sanhok,Arcade,60,Team_I,35,112
M000158,2025-02-09,Sanhok,Classic Solo,100,Team_Q,30,55
M000159,2025-04-22,Miramar,Classic Duo,100,Team_F,34,127
M000160,2025-06-01,Miramar,Classic Duo,100,Team_V,17,144
M000161,2025-02-23,Miramar,Classic Duo,100,Team_V,34,148
M000162,2025-07-11,Vikendi,Classic Duo,60,Team_S,19,55
M000163,2025-02-26,Sanhok,Arcade,60,Team_G,28,71
M000164,2025-05-30,Sanhok,Classic Duo,60,Team_H,34,149
M000165,2025-10-31,Livik,Arcade,100,Team_Y,18,82
M000166,2025-05-27,Erangel,Arcade,100,Team_U,20,60
M000167,2025-06-19,Sanhok,Classic Duo,100,Team_K,23,119
M000168,2025-04-28,Livik,Classic Solo,60,Team_W,23,121
M000169,2025-10-09,Sanhok,Arcade,60,Team_J,17,109
M000170,2025-06-10,Livik,Classic Solo,100,Team_A,30,140
M000171,2025-06-26,Livik,Classic Duo,100,Team_G,20,99
M000172,2025-12-12,Miramar,Arcade,100,Team_N,32,103
M000173,2025-08-06,Livik,Classic Solo,60,Team_R,16,87
M000174,2025-08-07,Livik,Classic Squad,100,Team_G,27,64
M000175,2025-09-01,Vikendi,Classic Solo,60,Team_M,26,95
M000176,2025-03-03,Miramar,Classic Solo,100,Team_W,31,102
M000177,2025-12-02,Livik,Classic Squad,60,Team_B,31,134
M000178,2025-08-07,Vikendi,Classic Squad,60,Team_C,25,53
M000179,2025-01-17,Vikendi,Classic Squad,100,Team_Z,28,103
M000180,2025-08-23,Livik,Classic Squad,100,Team_M,20,79
M000181,2025-08-15,Sanhok,Classic Duo,60,Team_Y,31,124
M000182,2025-04-25,Vikendi,Arcade,60,Team_I,25,142
M000183,2025-09-10,Erangel,Arcade,60,Team_K,26,118
M000184,2025-10-12,Livik,Classic Squad,60,Team_F,31,73
M000185,2025-02-18,Erangel,Classic Squad,100,Team_L,15,130
M000186,2025-04-14,Erangel,Arcade,60,Team_G,21,107
M000187,2025-11-27,Livik,Classic Duo,60,Team_I,16,103
M000188,2025-09-18,Sanhok,Arcade,100,Team_Z,22,89
M000189,2025-06-18,Sanhok,Classic Solo,60,Team_E,31,148
M000190,2025-08-10,Miramar,Classic Solo,60,Team_L,32,88
M000191,2025-07-31,Sanhok,Classic Squad,100,Team_O,34,78
M000192,2025-05-10,Vikendi,Classic Solo,60,Team_W,28,148
M000193,2025-02-08,Vikendi,Classic Squad,100,Team_E,15,84
M000194,2025-03-27,Sanhok,Classic Squad,60,Team_U,28,153
M000195,2025-07-18,Erangel,Classic Solo,60,Team_N,35,138
M000196,2025-10-11,Livik,Classic Solo,100,Team_K,19,87
M000197,2025-06-29,Erangel,Classic Solo,100,Team_T,18,51
M000198,2025-03-13,Vikendi,Classic Solo,100,Team_X,22,96
M000199,2025-06-16,Erangel,Classic Duo,100,Team_P,35,106
M000200,2025-11-05,Miramar,Classic Solo,100,Team_T,24,78
M000201,2025-02-18,Vikendi,Classic Squad,60,Team_T,21,149
M000202,2025-08-19,Miramar,Classic Duo,60,Team_X,29,133
M000203,2025-06-07,Vikendi,Classic Solo,100,Team_O,26,159
