player_id,player_name,age,country,device_type,tier,kd_ratio,total_matches,total_wins,avg_damage
P00001,Player_JETBA,23,India,Tablet,Crown,3.87,856,269,336
P00002,Player_OKKTL,20,India,Tablet,Platinum,3.68,619,210,495
P00003,Player_TBZVO,18,India,Tablet,Crown,1.9,1173,138,251
P00004,Player_IECXD,24,India,Tablet,Diamond,2.54,938,457,422
P00005,Player_GCLBH,24,India,Tablet,Bronze,5.18,1107,462,702
P00006,Player_YSNEJ,23,India,Tablet,Silver,4.15,1145,255,943
P00007,Player_ENJTX,24,India,Tablet,Diamond,3.42,1247,333,939
P00008,Player_AVZWR,28,India,Mobile,Crown,1.03,1247,279,692
P00009,Player_XBRVQ,29,India,Tablet,Platinum,3.17,169,21,854
P00010,Player_WVJPU,21,India,Mobile,Ace,4.78,1231,245,568
P00011,Player_RBVWK,20,India,Tablet,Ace,4.1,1242,251,712
P00012,Player_LYDXG,23,India,Mobile,Diamond,3.07,1930,394,324
P00013,Player_FPJIG,16,India,Mobile,Platinum,3.07,140,400,515
P00014,Player_GLRPS,24,India,Tablet,Platinum,1.33,1493,344,816
P00015,Player_RWKQW,25,India,Tablet,Ace,4.38,735,169,984
P00016,Player_ZGMMF,21,India,Mobile,Ace,1.95,967,317,902
P00017,Player_MMJKF,23,India,Mobile,Crown,2.93,591,52,941
P00018,Player_ZSGXQ,16,India,Tablet,Silver,5.64,679,18,672
P00019,Player_NLUDU,28,India,Tablet,Ace,1.15,1986,443,866
P00020,Player_LJTQF,18,India,Mobile,Silver,3.51,373,172,417
P00021,Player_GVLXU,18,India,Mobile,Ace,1.26,254,174,621
P00022,Player_DRLGD,25,India,Mobile,Bronze,1.54,628,422,226
P00023,Player_VKGDZ,26,India,Mobile,Crown,1.23,490,475,981
P00024,Player_ABEBH,21,India,Mobile,Bronze,1.62,1184,66,733
P00025,Player_JEMSK,16,India,Mobile,Conqueror,2.29,486,24,613
P00026,Player_USLFM,29,India,Mobile,Diamond,5.02,869,401,540
P00027,Player_VYGBE,30,India,Tablet,Bronze,1.4,151,461,873
P00028,Player_SDJXK,18,India,Mobile,Conqueror,3.54,1901,291,435
P00029,Player_JXXRN,27,India,Mobile,Ace,5.37,153,204,356
P00030,Player_FGWPQ,22,India,Mobile,Gold,1.96,1626,499,411
P00031,Player_RMCCN,23,India,Tablet,Silver,1.64,1298,431,992
P00032,Player_UIGWE,29,India,Mobile,Ace,1.77,798,217,646
P00033,Player_BHWUN,19,India,Mobile,Ace,2.07,175,133,615
P00034,Player_ZTOQF,26,India,Mobile,Platinum,2.23,800,371,666
P00035,Player_MVRJB,24,India,Mobile,Crown,3.07,1401,171,960
P00036,Player_PNWTP,29,India,Tablet,Conqueror,5.7,863,142,409
P00037,Player_EIUNA,23,India,Tablet,Platinum,5.71,1853,37,768
P00038,Player_XXEQT,23,India,Tablet,Crown,2.54,1300,211,254
P00039,Player_FSQJM,19,India,Tablet,Conqueror,3.03,1987,280,534
P00040,Player_FLKRE,28,India,Mobile,Platinum,5.07,971,24,749
P00041,Player_GTNEG,26,India,Mobile,Conqueror,4.35,1539,372,927
P00042,Player_FVAKL,23,India,Tablet,Bronze,3.48,1307,444,539
P00043,Player_XTWSU,24,India,Mobile,Conqueror,3.31,1456,296,717
P00044,Player_XSQRF,26,India,Tablet,Diamond,2.17,357,431,687
P00045,Player_VIJNF,30,India,Mobile,Diamond,2.69,1537,160,848
P00046,Player_DMOGB,28,India,Tablet,Crown,3.12,812,310,367
